Id,Coordinates,Order,Distance,Time
1,"[[0, 0], [77, 165], [74, 170], [76, 30], [35, 44], [9, 141], [55, 55], [68, 134], [8, 4], [51, 75], [99, 119], [55, 112], [12, 85], [71, 138], [81, 13], [85, 169], [86, 173], [50, 115], [54, 93], [75, 90], [70, 106], [0, 0]]","[0, 4, 9, 18, 17, 11, 20, 19, 10, 7, 13, 1, 15, 16, 2, 5, 12, 6, 3, 14, 8, 21]",612.1972252871606,13.537998914718628
2,"[[0, 0], [3, 10], [9, 29], [2, 49], [11, 53], [3, 30], [11, 29], [9, 62], [9, 59], [6, 60], [11, 56], [1, 43], [9, 24], [2, 23], [7, 11], [5, 38], [8, 25], [4, 8], [10, 31], [9, 63], [8, 4], [0, 0]]","[0, 17, 1, 16, 12, 2, 6, 18, 15, 11, 3, 4, 10, 8, 7, 19, 9, 5, 13, 14, 20, 21]",148.66330592445956,16.687000036239624
3,"[[0, 0], [6, 12], [6, 3], [11, 12], [10, 15], [12, 24], [8, 26], [7, 13], [2, 20], [6, 27], [5, 9], [6, 13], [10, 22], [12, 21], [7, 21], [10, 5], [3, 28], [13, 27], [5, 11], [2, 28], [9, 24], [0, 0]]","[0, 10, 18, 1, 11, 7, 4, 13, 12, 20, 6, 9, 16, 19, 8, 14, 5, 17, 3, 15, 2, 21]",93.22290258772082,15.67853045463562
4,"[[0, 0], [109, 6], [34, 37], [22, 72], [36, 57], [1, 8], [10, 31], [100, 81], [32, 53], [38, 29], [62, 60], [82, 68], [116, 1], [64, 9], [61, 71], [90, 39], [78, 80], [126, 63], [113, 28], [58, 42], [109, 82], [0, 0]]","[0, 9, 19, 10, 14, 16, 11, 7, 20, 17, 18, 12, 1, 15, 13, 2, 8, 4, 3, 6, 5, 21]",498.4776251220193,16.80366039276123
5,"[[0, 0], [8, 49], [32, 37], [23, 34], [25, 49], [25, 28], [52, 41], [75, 10], [79, 41], [19, 44], [83, 49], [60, 22], [38, 4], [60, 11], [41, 45], [29, 9], [83, 21], [58, 34], [40, 39], [51, 39], [36, 7], [0, 0]]","[0, 15, 20, 12, 11, 17, 19, 6, 18, 2, 5, 3, 9, 1, 4, 14, 8, 10, 16, 7, 13, 21]",350.95220229805227,17.877002477645874
6,"[[0, 0], [33, 2], [33, 35], [23, 5], [40, 38], [47, 37], [27, 8], [43, 9], [4, 40], [47, 10], [9, 19], [4, 28], [9, 11], [20, 39], [35, 22], [2, 27], [33, 2], [42, 7], [18, 14], [16, 11], [26, 23], [0, 0]]","[0, 19, 18, 3, 6, 1, 16, 17, 7, 9, 14, 20, 5, 4, 2, 13, 8, 11, 15, 10, 12, 21]",205.12097635073664,19.462997674942017
7,"[[0, 0], [4, 3], [3, 26], [7, 134], [9, 58], [11, 50], [9, 69], [6, 15], [10, 111], [9, 122], [10, 14], [8, 19], [7, 17], [7, 113], [7, 34], [5, 144], [5, 9], [7, 92], [1, 64], [11, 176], [9, 31], [0, 0]]","[0, 1, 16, 7, 12, 11, 20, 14, 5, 4, 6, 17, 8, 13, 9, 3, 15, 19, 18, 2, 10, 21]",363.68715053857903,18.145997285842896
8,"[[0, 0], [26, 17], [34, 1], [2, 17], [5, 18], [40, 16], [37, 3], [37, 10], [11, 10], [24, 18], [15, 4], [19, 3], [26, 14], [30, 10], [8, 4], [17, 21], [26, 16], [19, 16], [18, 17], [43, 10], [18, 19], [0, 0]]","[0, 14, 17, 18, 20, 15, 9, 1, 16, 12, 13, 7, 5, 19, 6, 2, 11, 10, 8, 4, 3, 21]",138.3700475323427,16.526997327804565
9,"[[0, 0], [30, 33], [91, 68], [16, 39], [148, 37], [57, 61], [51, 59], [152, 79], [176, 9], [74, 53], [83, 51], [123, 55], [170, 76], [29, 105], [165, 3], [114, 22], [148, 137], [183, 93], [51, 35], [142, 87], [117, 72], [0, 0]]","[0, 1, 18, 6, 5, 9, 10, 2, 20, 11, 15, 14, 8, 4, 19, 7, 12, 17, 16, 13, 3, 21]",718.592017844304,18.359999418258667
10,"[[0, 0], [58, 74], [111, 17], [111, 111], [31, 132], [50, 114], [71, 73], [73, 9], [95, 24], [39, 68], [52, 49], [29, 111], [55, 115], [109, 62], [37, 133], [95, 30], [64, 32], [59, 12], [57, 40], [110, 89], [23, 63], [0, 0]]","[0, 17, 16, 18, 10, 1, 6, 13, 19, 3, 12, 5, 14, 4, 11, 20, 9, 15, 8, 2, 7, 21]",608.2023455035272,19.377002716064453
11,"[[0, 0], [85, 1], [59, 6], [34, 21], [117, 28], [112, 20], [29, 9], [40, 16], [95, 16], [2, 5], [3, 6], [84, 4], [12, 26], [7, 22], [42, 17], [42, 16], [89, 9], [115, 35], [48, 10], [39, 14], [14, 34], [0, 0]]","[0, 9, 10, 13, 12, 20, 3, 15, 18, 2, 1, 11, 16, 8, 5, 4, 17, 14, 7, 19, 6, 21]",291.7298180890127,20.108002185821533
12,"[[0, 0], [135, 11], [164, 9], [117, 10], [73, 2], [107, 6], [162, 4], [159, 2], [112, 10], [60, 11], [19, 5], [98, 9], [36, 9], [104, 7], [158, 11], [153, 13], [161, 11], [164, 6], [9, 9], [55, 4], [164, 6], [0, 0]]","[0, 10, 19, 4, 11, 8, 3, 1, 15, 14, 16, 2, 17, 20, 6, 7, 5, 13, 9, 12, 18, 21]",338.6403913363986,23.282996654510494
13,"[[0, 0], [7, 134], [80, 80], [9, 39], [50, 168], [44, 53], [172, 181], [109, 70], [104, 89], [169, 139], [64, 45], [170, 118], [143, 71], [128, 178], [165, 24], [125, 134], [54, 131], [82, 79], [113, 37], [105, 139], [152, 152], [0, 0]]","[0, 5, 10, 2, 17, 8, 7, 18, 14, 12, 11, 9, 20, 6, 13, 15, 19, 16, 4, 1, 3, 21]",832.0723282236081,24.28158569335937
